Name,Type,Longitude,Latitude,Color,Label
Sugitora,Food,135.7670795,35.006759,#440154,<b>Sugitora</b>
Master Plan,Food,126.9883479,37.5737425,#440154,<b>Master Plan</b>
LEMONADE by Lemonica,Food,139.7035936,35.6570812,#440154,<b>LEMONADE by Lemonica</b>
Miki,Food,8.5166399,47.3752416,#440154,<b>Miki</b>
Beirut,Food,12.5353997,41.8881548,#440154,<b>Beirut</b>
Schamong Kaffee,Food,6.905256,50.955864,#440154,<b>Schamong Kaffee</b>
Patisserie Cafe Dukatz,Food,11.5867909,48.1394335,#440154,<b>Patisserie Cafe Dukatz</b>
Sushi Nara,Food,6.9416455,50.9407008,#440154,<b>Sushi Nara</b>
Ernst Kaffeeröster,Food,6.9603857,50.9179346,#440154,<b>Ernst Kaffeeröster</b>
My Juice,Food,126.9367663,37.558301,#440154,<b>My Juice</b>
Dattler,Food,7.8608592,47.9964018,#440154,<b>Dattler</b>
Gmeiner,Food,7.8492044,47.993312,#440154,<b>Gmeiner</b>
Boulangerie Dompierre - Türkenstr. 21,Food,11.5746705,48.1487092,#440154,<b>Boulangerie Dompierre - Türkenstr. 21</b>
Guttilla Alta Gelateria Italiana,Food,12.5099087,41.9154085,#440154,<b>Guttilla Alta Gelateria Italiana</b>
Ballabeni Icecream Stammhaus,Food,11.57459,48.148507,#440154,<b>Ballabeni Icecream Stammhaus</b>
Zum Koreaner,Food,11.577652,48.1493071,#440154,<b>Zum Koreaner</b>
Mitico,Food,7.7410471,48.5822673,#440154,<b>Mitico</b>
Rossodisera,Food,-0.1267343,51.5149002,#440154,<b>Rossodisera</b>
Comme à Lisbonne,Food,2.3563782,48.8566547,#440154,<b>Comme à Lisbonne</b>
From mouth to ear,Food,2.3585415,48.8562185,#440154,<b>From mouth to ear</b>
Borough Market,Food,-0.090963,51.5054504,#440154,<b>Borough Market</b>
Der verrückte Eismacher - im Wunderland,Food,11.578677,48.150914,#440154,<b>Der verrückte Eismacher - im Wunderland</b>
Le Papillon,Food,2.3498444,48.8400377,#440154,<b>Le Papillon</b>
Pie Me - Australian Café and Pie-Bar,Food,7.0745706,50.726516,#440154,<b>Pie Me - Australian Café and Pie-Bar</b>
Solomon R. Guggenheim Museum,Museums,-73.9589706,40.7829796,#31688E,<b>Solomon R. Guggenheim Museum</b>
부산영화체험박물관,Museums,129.0337655,35.101702,#31688E,<b>부산영화체험박물관</b>
The Metropolitan Museum of Art,Museums,-73.963244,40.7794366,#31688E,<b>The Metropolitan Museum of Art</b>
Tokyo National Museum,Museums,139.7765215,35.7188351,#31688E,<b>Tokyo National Museum</b>
Casa Fernando Pessoa,Museums,-9.1624383,38.7166592,#31688E,<b>Casa Fernando Pessoa</b>
Osaka Museum of Housing and Living,Museums,135.5116374,34.710356,#31688E,<b>Osaka Museum of Housing and Living</b>
The Old Operating Theatre Museum and Herb Garret,Museums,-0.0885991,51.5050283,#31688E,<b>The Old Operating Theatre Museum and Herb Garret</b>
Tate Modern,Museums,-0.0993564,51.5075953,#31688E,<b>Tate Modern</b>
Natural History Museum,Museums,-0.1763672,51.496715,#31688E,<b>Natural History Museum</b>
Victoria and Albert Museum,Museums,-0.17218,51.4966392,#31688E,<b>Victoria and Albert Museum</b>
Lenbachhaus,Museums,11.5639938,48.1466811,#31688E,<b>Lenbachhaus</b>
Empire State Building,Other,-73.9857635,40.7485452,#35B779,<b>Empire State Building</b>
The Comedy Store,Other,-0.1322989,51.5101459,#35B779,<b>The Comedy Store</b>
THE MILLENNIALS KYOTO,Other,135.7688947,35.0075126,#35B779,<b>THE MILLENNIALS KYOTO</b>
Raccoon Cafe,Other,126.92278,37.553818,#35B779,<b>Raccoon Cafe</b>
Osaka Aquarium Kaiyukan,Other,135.4289645,34.6545182,#35B779,<b>Osaka Aquarium Kaiyukan</b>
Durham Bulls Athletic Park,Other,-78.9040538,35.9917085,#35B779,<b>Durham Bulls Athletic Park</b>
Kinkaku-ji,Other,135.7292431,35.03937,#35B779,<b>Kinkaku-ji</b>
Higashiyama Jisho-ji,Other,135.7982058,35.0270213,#35B779,<b>Higashiyama Jisho-ji</b>
Fushimi Inari Pathway,Other,135.7806534,34.9696005,#35B779,<b>Fushimi Inari Pathway</b>
Galerie Sakura,Other,2.356041,48.8573346,#35B779,<b>Galerie Sakura</b>
FreiSpiel Freiburg,Other,7.8409044,47.9999135,#35B779,<b>FreiSpiel Freiburg</b>
Yonsei University,Other,126.938572,37.565784,#35B779,<b>Yonsei University</b>
The Monument,Other,-0.0863889,51.51,#35B779,<b>The Monument</b>
Schwarzwald-Stadion,Other,7.892877,47.988917,#35B779,<b>Schwarzwald-Stadion</b>
